locus_tag	gene_name	description	type	genes	logFC	logCPM	PValue	FDR	m_log10FDR
EKN05_021815	gntR	HTH-type transcriptional regulator GntR	CDS	EKN05_021815	2.40905235326461	10.2342809056632	2.46501577028823e-28	2.03526192980586e-25	24.6913796909355
EKN05_009120	cspE	transcription antiterminator/RNA stability regulator CspE	CDS	EKN05_009120	2.03370325433867	10.2154666331146	2.50888244746564e-28	2.03526192980586e-25	24.6913796909355
EKN05_015135	crl	sigma factor-binding protein Crl	CDS	EKN05_015135	1.76541671078508	9.65262032016619	7.69993973964067e-25	3.29711419651414e-22	21.48186601068
EKN05_021070	cpxR	envelope stress response regulator transcription factor CpxR	CDS	EKN05_021070	2.33596332630776	8.76320382405973	9.28816630445572e-25	3.61562982869813e-22	21.4418160393645
EKN05_007235	yncL	stress response membrane protein YncL	CDS	EKN05_007235	2.79472909482347	8.31693844012287	3.33880745618289e-24	1.19139779394793e-21	20.9239432083979
EKN05_019205	yiaY	L-threonine dehydrogenase	CDS	EKN05_019205	1.8664605496854	9.59674722509779	1.87655831298768e-23	5.35694846414218e-21	20.2710825316832
EKN05_023240	EKN05_023240	2-dehydro-3-deoxyglucarate aldolase	CDS	EKN05_023240	2.09592387797187	8.4831806452183	5.09452572421528e-23	1.2832211265347e-20	19.8916984989181
EKN05_016080	EKN05_016080	PTS sugar transporter subunit IIA	CDS	EKN05_016080	2.16359314702466	8.58378831047316	1.349626384185e-22	3.04163167214746e-20	19.5168933781985
EKN05_009935	cls	cardiolipin synthase	CDS	EKN05_009935	1.93560695981009	8.67578597169353	3.24307909521878e-22	6.94343234286342e-20	19.1584257919271
EKN05_007135	EKN05_007135	IS3 family transposase	pseudo	EKN05_007135	2.52988789795063	7.83433944459643	6.07140587903991e-22	1.13033739017604e-19	18.9467919062321
EKN05_019370	yibB	protein YibB	CDS	EKN05_019370	1.06800581485403	10.178233978923	6.89587823515811e-22	1.18112602411788e-19	18.927703761439
EKN05_015400	EKN05_015400	baseplate J/gp47 family protein	CDS	EKN05_015400	2.06499609402605	8.06275913640543	1.35899989887483e-21	2.23816829499309e-19	18.6501072605964
EKN05_002350	EKN05_002350	replication protein P	CDS	EKN05_002350	1.42297196558573	9.24532199154868	1.52158842925488e-21	2.41312653854423e-19	18.6174199041374
EKN05_005385	rfbB	dTDP-glucose 4	CDS	EKN05_005385	1.17679761364498	10.6845640080277	2.36930710661972e-21	3.62334751090915e-19	18.4408900113056
EKN05_012550	EKN05_012550	UPF0104 family protein	CDS	EKN05_012550	2.05856861973936	8.32962912470383	4.01049017895186e-21	5.92169618836961e-19	18.2275538777808
EKN05_004570	EKN05_004570	hypothetical protein	CDS	EKN05_004570	2.33224345381794	7.90321418089125	4.29132564510821e-21	6.12515213745111e-19	18.2128831197577
EKN05_016805	deoA	thymidine phosphorylase	CDS	EKN05_016805	1.79246323378359	8.49865332073073	6.46472456791539e-21	8.38846987873142e-19	18.0763172505929
EKN05_012980	ybeF	DNA-binding transcriptional regulator	CDS	EKN05_012980	1.25092822772948	9.74569890769232	8.25581842339843e-21	1.03974748497035e-18	17.9830721214702
EKN05_012630	ybhC	putative acyl-CoA thioester hydrolase	CDS	EKN05_012630	1.4328307923776	9.01393363998792	2.51440957606887e-20	3.07620051563626e-18	17.511985359379
EKN05_014595	EKN05_014595	sel1 repeat family protein	CDS	EKN05_014595	-2.43964870793163	8.03659651760111	2.60800598406207e-20	3.1020782288205e-18	17.5083472542604
EKN05_011630	ycbS	fimbrial biogenesis outer membrane usher protein	CDS	EKN05_011630	1.11516655225255	10.5310752292647	6.75337736713908e-20	7.8156653746188e-18	17.1070340430799
EKN05_013295	kdpB	K(+)-transporting ATPase subunit B	pseudo	EKN05_013295	1.60200740461473	8.8641331437881	1.27955485229867e-19	1.44185628356392e-17	16.8410780255844
EKN05_003980	hisP	histidine ABC transporter ATP-binding protein HisP	CDS	EKN05_003980	1.64319914823461	8.62210667236679	2.33283797770559e-19	2.49730305513383e-17	16.6025287515269
EKN05_002880	hcaA1	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha	CDS	EKN05_002880	1.90396524003207	8.10157540354124	3.43313420955689e-19	3.42196371945402e-17	16.4657245992731
EKN05_011195	phoH	phosphate starvation-inducible protein PhoH	CDS	EKN05_011195	1.72548518685933	8.44446137606834	3.55450239994814e-19	3.45917710831316e-17	16.4610272017341
EKN05_000370	ftsP	cell division protein FtsP	CDS	EKN05_000370	-1.76519400036892	7.99880899644364	5.67285732795025e-19	5.28069023440934e-17	16.2773093075034
EKN05_012675	EKN05_012675	DUF4376 domain-containing protein	CDS	EKN05_012675	1.98791484048337	7.80504807490282	7.05216220597398e-19	6.30359115609727e-17	16.2004119624615
EKN05_011450	hyaC	Ni/Fe-hydrogenase b-type cytochrome subunit	CDS	EKN05_011450	2.3941763921382	7.41126872105868	7.0661460881053e-19	6.30359115609727e-17	16.2004119624615
EKN05_004785	dusC	tRNA dihydrouridine(16) synthase DusC	CDS	EKN05_004785	1.59985194976668	8.52651032365094	7.32673315940505e-19	6.4026676303209e-17	16.1936390423058
EKN05_009125	EKN05_009125	DUF2627 domain-containing protein	CDS	EKN05_009125	1.23702176691957	9.50383268248003	8.14447608744204e-19	6.97492932128536e-17	16.1564601888474
EKN05_010455	phoQ	Virulence sensor protein PhoQ	CDS	EKN05_010455	1.18611820573716	9.84425284541355	9.75347011118928e-19	8.18909000315931e-17	16.0867643556955
EKN05_018555	EKN05_018555	DUF1481 domain-containing protein	CDS	EKN05_018555	1.91004053890519	7.90249545622511	1.1512693062617e-18	9.48025994117805e-17	16.0231797544898
EKN05_018750	oxyR	DNA-binding transcriptional regulator OxyR	CDS	EKN05_018750	-5.60260456971595	6.53395999513662	1.24015162797497e-18	1.00194891905449e-16	15.9991544189261
EKN05_002895	csiE	stationary phase inducible protein CsiE	CDS	EKN05_002895	1.51885697428171	8.23280737044917	1.91635677114309e-18	1.46532851679191e-16	15.8340649984938
EKN05_009710	rnb	exoribonuclease II	CDS	EKN05_009710	1.56232724687154	8.83938748202055	2.08919781587735e-18	1.56946404343628e-16	15.804248629576
EKN05_019640	EKN05_019640	hypothetical protein	CDS	EKN05_019640	1.10791851661155	9.89054978118566	2.75857806470009e-18	2.036591598801e-16	15.6910960520846
EKN05_011620	EKN05_011620	fimbrial protein	CDS	EKN05_011620	1.77315294772402	8.17378208732092	3.06819170295747e-18	2.22677913085829e-16	15.6523228575086
EKN05_009160	prc	carboxy terminal-processing peptidase	CDS	EKN05_009160	1.58671995351091	8.45136343320445	3.39328605148916e-18	2.38396997606666e-16	15.6226992184413
EKN05_001620	ygaH	L-valine transporter subunit YgaH	CDS	EKN05_001620	2.3669255637735	7.42949355058939	3.50391414221835e-18	2.38396997606666e-16	15.6226992184413
EKN05_013395	ybgQ	fimbrial biogenesis outer membrane usher protein	CDS	EKN05_013395	1.06202339118729	9.45980129326587	3.51947771728324e-18	2.38396997606666e-16	15.6226992184413
EKN05_007360	adhP	alcohol dehydrogenase AdhP	pseudo	EKN05_007360	1.90695016396154	7.56653621505124	3.56314989416782e-18	2.38396997606666e-16	15.6226992184413
EKN05_022160	frlA	fructoselysine/psicoselysine transporter	pseudo	EKN05_022160	1.14873226320196	9.13545118323323	3.65461863730532e-18	2.40755030845252e-16	15.6184246290404
EKN05_022680	EKN05_022680	hypothetical protein	CDS	EKN05_022680	2.36291370294306	7.43109440715144	4.24040731082044e-18	2.7511248643838e-16	15.5604896979846
EKN05_018960	uspD	universal stress protein UspD	CDS	EKN05_018960	1.05846796546342	9.39636151283616	4.50445040935509e-18	2.87881442579977e-16	15.5407863297203
EKN05_007290	narH	nitrate reductase subunit beta	CDS	EKN05_007290	2.42353494753265	6.95417389381122	4.68712627817971e-18	2.95151098870081e-16	15.5299555955283
EKN05_015790	nlpE	envelope stress response activation lipoprotein NlpE	CDS	EKN05_015790	1.97098362584962	7.56629017540191	5.41517107258523e-18	3.31253750468714e-16	15.4798391959271
EKN05_005915	vsr	very short patch repair endonuclease	CDS	EKN05_005915	2.19367521466574	7.1868359689636	6.91060762047933e-18	4.16777772266091e-16	15.3800954510319
EKN05_008655	pfkB	6-phosphofructokinase II	CDS	EKN05_008655	1.62763399567789	8.48232410836532	7.1290444047672e-18	4.23980113072405e-16	15.372654513656
EKN05_021630	nikE	nickel import ATP-binding protein NikE	CDS	EKN05_021630	1.97749402563086	7.96147498945442	7.36640662244102e-18	4.32095248730034e-16	15.364420509115
EKN05_016995	hpaX	4-hydroxyphenylacetate permease	CDS	EKN05_016995	1.02561792930861	9.33345114236675	8.76377821866934e-18	5.07114842328948e-16	15.2948936782566
EKN05_014225	fetA	iron ABC transporter ATP-binding protein FetA	CDS	EKN05_014225	1.18633846210595	9.42630242253018	9.50257572156032e-18	5.32695012691464e-16	15.2735213692387
EKN05_023180	EKN05_023180	YraN family protein	CDS	EKN05_023180	1.74923386972104	8.12031525618814	9.57905557618934e-18	5.32695012691464e-16	15.2735213692387
EKN05_003045	EKN05_003045	glycine zipper 2TM domain-containing protein	CDS	EKN05_003045	1.23125786615925	8.94731519868319	1.03421860040622e-17	5.67759493197364e-16	15.2458355954459
EKN05_008955	EKN05_008955	MFS transporter	pseudo	EKN05_008955	0.997564876065543	9.58673223444064	1.20077802512248e-17	6.50852089060057e-16	15.1865176968445
EKN05_020485	cyaY	iron donor protein CyaY	CDS	EKN05_020485	1.85814802211973	7.47307723436185	1.49206012030188e-17	7.93187247205018e-16	15.1006242769592
EKN05_009390	EKN05_009390	hypothetical protein	CDS	EKN05_009390	1.30708332728797	8.67541131861784	1.50042426491374e-17	7.93187247205018e-16	15.1006242769592
EKN05_006105	fliT	flagella biosynthesis regulatory protein FliT	CDS	EKN05_006105	2.29097284190946	7.19181447696369	1.63105721882717e-17	8.51730123294872e-16	15.0696979927106
EKN05_010580	EKN05_010580	DUF4102 domain-containing protein	CDS	EKN05_010580	1.65018322583906	8.23215457485043	1.78004315348115e-17	9.12619892065856e-16	15.0397100692909
EKN05_009545	ycjT	kojibiose phosphorylase	CDS	EKN05_009545	1.55059277752899	8.05274021596434	1.7902865701432e-17	9.12619892065856e-16	15.0397100692909
EKN05_009015	yeaX	carnitine monooxygenase subunit YeaX	CDS	EKN05_009015	1.84421432978998	7.99472791665233	1.89875492463754e-17	9.56525716152698e-16	15.0193033494913
EKN05_005695	EKN05_005695	integrase	CDS	EKN05_005695	1.23590383125709	9.38536175747878	1.95634481722881e-17	9.74077733415552e-16	15.0114063841415
EKN05_009050	EKN05_009050	DUF1889 family protein	CDS	EKN05_009050	1.02588351750539	9.54962418452058	2.01316209065165e-17	9.90845985306941e-16	15.0039938459481
EKN05_020270	hdfR	HTH-type transcriptional regulator HdfR	CDS	EKN05_020270	-1.95533477088348	7.62445919459859	2.54154050747163e-17	1.17290176562812e-15	14.9307383599494
EKN05_004670	yeiL	transcriptional regulator YeiL	CDS	EKN05_004670	1.23386985186623	9.39722710871643	2.78223980819716e-17	1.2673990275213e-15	14.897086630446
EKN05_006160	EKN05_006160	DUF2594 family protein	CDS	EKN05_006160	1.41160346504445	8.62299357127865	3.16223154401138e-17	1.41048702827674e-15	14.8506309035347
EKN05_021580	EKN05_021580	hypothetical protein	CDS	EKN05_021580	-2.70149579816693	7.09304234846428	3.34680655293992e-17	1.47373312756197e-15	14.8315811540079
EKN05_004735	mglB	galactose/glucose ABC transporter substrate-binding protein MglB	CDS	EKN05_004735	1.41492588990429	8.550972441042	4.4034276525245e-17	1.90459365738484e-15	14.7201976662767
EKN05_007230	EKN05_007230	CatB-related O-acetyltransferase	CDS	EKN05_007230	-4.00502266952346	6.57074714399763	4.96124190070416e-17	2.12440378188152e-15	14.6727629341175
EKN05_003775	EKN05_003775	hypothetical protein	CDS	EKN05_003775	-4.10179007659421	6.4511200093597	5.1486717627451e-17	2.18283291961134e-15	14.6609795051831
EKN05_006040	emrE	EmrE family multidrug efflux SMR transporter	CDS	EKN05_006040	0.882666465043704	9.7556421283699	5.89481945278253e-17	2.47466832321714e-15	14.6064830007907
EKN05_006800	EKN05_006800	DUF2511 domain-containing protein	CDS	EKN05_006800	1.90679327427271	7.76330702385444	6.50991454332155e-17	2.68033212254835e-15	14.5718113887871
EKN05_003880	mnmC	bifunctional tRNA (5-methylaminomethyl-2-thiouridine)(34)-methyltransferase MnmD/FAD-dependent 5-carboxymethylaminomethyl-2-thiouridine(34) oxidoreductase MnmC	CDS	EKN05_003880	1.38236927787262	8.39651704141574	6.85352021632189e-17	2.79493081583718e-15	14.5536289379285
EKN05_005390	rfbD	dTDP-4-dehydrorhamnose reductase	CDS	EKN05_005390	1.18971782613802	9.65786957629193	8.33041510088242e-17	3.33372312728771e-15	14.4770704720798
EKN05_023305	tdcG	L-serine ammonia-lyase	CDS	EKN05_023305	1.20504166966931	9.25765146696051	9.55440122783349e-17	3.78814315347991e-15	14.4215736174218
EKN05_020900	yihV	sulfofructose kinase	CDS	EKN05_020900	1.89347549540788	7.51655596744808	1.19358091766089e-16	4.68891145818709e-15	14.3289279680681
EKN05_016945	EKN05_016945	GntR family transcriptional regulator	pseudo	EKN05_016945	0.932958100922159	9.53028026426527	1.38676634670711e-16	5.39830317872712e-15	14.2677427283103
EKN05_008340	ydeJ	2-oxo-tetronate isomerase	CDS	EKN05_008340	1.28415179777971	9.0505948559817	1.46847708477975e-16	5.66488187119541e-15	14.2468091419741
EKN05_013980	EKN05_013980	hypothetical protein	CDS	EKN05_013980	0.783387684768115	10.1711695979348	1.48817978961548e-16	5.68963023136918e-15	14.2449159574528
EKN05_012565	moaE	molybdopterin synthase catalytic subunit MoaE	CDS	EKN05_012565	2.10951006836968	7.06096995580315	1.5266313435773e-16	5.78498709132566e-15	14.2376976057999
EKN05_014095	fimA	type 1 fimbrial protein subunit FimA	CDS	EKN05_014095	-2.52663199343862	7.62150103140918	1.97961343115973e-16	7.43570588791753e-15	14.1286777966544
EKN05_001120	araE	MFS transporter	CDS	EKN05_001120	1.1221809766601	9.27134281736678	2.10987937187867e-16	7.85608997424736e-15	14.1047935513037
EKN05_013215	chiP	chitoporin	CDS	EKN05_013215	1.30353617508785	8.54811322314613	2.47196549408574e-16	9.04697115014969e-15	14.043496794601
EKN05_003270	tkt	transketolase	CDS	EKN05_003270	1.31185422563394	8.50418981812397	2.7048623752746e-16	9.81544126349646e-15	14.0080901714594
EKN05_007625	EKN05_007625	aldehyde ferredoxin oxidoreductase	pseudo	EKN05_007625	1.05938424921524	9.14750754549261	2.85293418894686e-16	1.02657682328323e-14	13.9886085449007
EKN05_004160	elaB	stress response protein ElaB	CDS	EKN05_004160	2.27721750925198	6.76500144456106	2.97752573421064e-16	1.04635055843848e-14	13.9803227895709
EKN05_014885	EKN05_014885	IS3 family transposase	pseudo	EKN05_014885	2.44061542792044	6.76174119330102	2.97937741978126e-16	1.04635055843848e-14	13.9803227895709
EKN05_019665	iucD	lysine 6-monooxygenase	CDS	EKN05_019665	-1.16928802932087	8.57806312088057	2.98119495865237e-16	1.04635055843848e-14	13.9803227895709
EKN05_010965	EKN05_010965	IS3 family transposase	CDS	EKN05_010965	3.06869183134874	6.08713550206112	3.0738770931308e-16	1.07010908234033e-14	13.9705719499374
EKN05_015530	EKN05_015530	DUF2824 family protein	CDS	EKN05_015530	2.01483911935044	7.41949052110481	3.22279209269095e-16	1.11290288233086e-14	13.9535427327974
EKN05_012355	ybiY	glycyl-radical enzyme activating protein	CDS	EKN05_012355	1.56298109121191	7.72825582533516	3.26977504825449e-16	1.12009414053006e-14	13.9507454746561
EKN05_011385	ymcC	YjbF family lipoprotein	CDS	EKN05_011385	1.04041279041942	9.42298571617969	3.38298732648096e-16	1.14967870888821e-14	13.9394235113442
EKN05_016970	hpaE	5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase	CDS	EKN05_016970	1.5134622604567	8.2678717658931	3.68719632136967e-16	1.24009348593366e-14	13.9065455737936
EKN05_006630	ipaH_3	E3 ubiquitin--protein ligase	CDS	EKN05_006630	-1.34525823863523	9.36953618477978	3.70695857542056e-16	1.24009348593366e-14	13.9065455737936
EKN05_001040	EKN05_001040	hypothetical protein	CDS	EKN05_001040	1.76651173882556	7.33022894948401	3.79157927776417e-16	1.25856918351831e-14	13.900122906302
EKN05_009065	EKN05_009065	CoA pyrophosphatase	CDS	EKN05_009065	1.52262108724195	8.03170800880555	3.89173731652968e-16	1.27557078884517e-14	13.8942954348576
EKN05_012865	EKN05_012865	DedA family protein	CDS	EKN05_012865	1.14096404395329	8.7717026692523	3.93119413785738e-16	1.27557078884517e-14	13.8942954348576
EKN05_010505	EKN05_010505	phage major capsid protein	pseudo	EKN05_010505	1.49248390969805	7.82067843520901	3.93216590676233e-16	1.27557078884517e-14	13.8942954348576
EKN05_007930	hdhA	7-alpha-hydroxysteroid dehydrogenase	CDS	EKN05_007930	1.10064872928049	9.09746677846784	4.00961846048973e-16	1.29091625923436e-14	13.8891019291759
EKN05_021065	cpxA	envelope stress sensor histidine kinase CpxA	CDS	EKN05_021065	1.0829624060007	8.97315884778166	4.11361886865048e-16	1.31451611907174e-14	13.8812340840491
EKN05_004605	lpxT	Kdo(2)-lipid A phosphotransferase	CDS	EKN05_004605	0.998496502310657	9.15446527704088	4.48153955042749e-16	1.42147795221707e-14	13.8472598720303
EKN05_019335	envC	murein hydrolase activator EnvC	CDS	EKN05_019335	-3.20609565124951	6.72619065533504	4.63868213562045e-16	1.46050271358285e-14	13.8354976317798
EKN05_013715	ybdO	LysR family transcriptional regulator	CDS	EKN05_013715	-1.66648258780183	8.39321423532112	4.81556265765976e-16	1.50512695621161e-14	13.8224268661454
EKN05_010460	EKN05_010460	hypothetical protein	CDS	EKN05_010460	2.71374516462704	7.119858998799	5.59462966113737e-16	1.70712315649359e-14	13.7677351465735
EKN05_003835	EKN05_003835	fimbrial protein	CDS	EKN05_003835	1.18701201593135	8.47134314713642	5.62130698425028e-16	1.70712315649359e-14	13.7677351465735
EKN05_012715	EKN05_012715	helix-turn-helix domain-containing protein	CDS	EKN05_012715	1.83807808030013	7.58526666126903	5.96588847115758e-16	1.79900946714766e-14	13.7449665512074
EKN05_003910	truA	tRNA pseudouridine(38-40) synthase TruA	CDS	EKN05_003910	-4.17887130209033	6.35576915202804	6.69337684888625e-16	2.00426850817699e-14	13.6980440972718
EKN05_021565	EKN05_021565	hypothetical protein	CDS	EKN05_021565	-0.766274924393403	10.1957424577069	6.82248943358293e-16	2.02874303851403e-14	13.6927729574135
EKN05_004515	ccmH	cytochrome c-type biogenesis protein CcmH	CDS	EKN05_004515	1.60737328832821	7.8161934708701	7.45143874738948e-16	2.20048694595322e-14	13.6574812034779
EKN05_012885	EKN05_012885	PBSX family phage terminase large subunit	pseudo	EKN05_012885	1.71794653891144	7.92331112815546	7.96281298052223e-16	2.33539487552029e-14	13.6316396770848
EKN05_013655	citE	citrate (pro-3S)-lyase subunit beta	CDS	EKN05_013655	1.69595610898076	7.89919053948441	8.10980153476133e-16	2.36232450148626e-14	13.6266604456196
EKN05_005880	EKN05_005880	hypothetical protein	pseudo	EKN05_005880	1.44644453238994	8.26006735533957	8.6130117115286e-16	2.4919537938355e-14	13.6034600146888
EKN05_014080	EKN05_014080	hypothetical protein	pseudo	EKN05_014080	0.959050176875241	9.56534359717486	9.30276611693932e-16	2.67345265186135e-14	13.5729275030607
EKN05_005245	EKN05_005245	hypothetical protein	pseudo	EKN05_005245	1.33075930880115	7.97731453467896	9.87413739498427e-16	2.81873708835484e-14	13.549945430124
EKN05_008830	EKN05_008830	ABC transporter permease	pseudo	EKN05_008830	1.29547843369175	8.27843098870428	1.03030730767701e-15	2.92170588839267e-14	13.5343635041707
EKN05_007340	fdnG	formate dehydrogenase-N subunit alpha	CDS	EKN05_007340	1.51463757157429	7.98393375998939	1.06700182462729e-15	3.00585645595661e-14	13.5220317628956
EKN05_018930	rraA	ribonuclease E activity regulator RraA	CDS	EKN05_018930	1.59690248668109	7.64906135640245	1.14694328312488e-15	3.20994192048414e-14	13.4935028254897
EKN05_022265	kefB	glutathione-regulated potassium-efflux system protein KefB	CDS	EKN05_022265	1.12197932654246	8.75308912152074	1.15795590396799e-15	3.21971894856553e-14	13.4921820365074
